Key	Type	Desc	English	German	French (France)	Portuguese (Brazil)	Italian (Italy)	Japanese	Korean	Russian	Spanish	Ukrainian	Chinese (Simplified)	Chinese (Traditional)	Thai
Items/ValentineCandles	Text		Valentine's Candles	Valentins-Kerzen	Bougies de Saint-Valentin	Velas de Dia dos Namorados	Candele di San Valentino	バレンタインのキャンドル	밸런타인데이 양초	Романтические свечи	Velas de San Valentín	Романтичні свічки	情人节蜡烛	情人節蠟燭	เทียนวาเลนไทน์
Items/ValentineCandlesDesc	Text		A handful of small, pink candles that fill the air with a whiff of vanille.	Eine Handvoll kleiner, pinker Kerzen, die die Luft mit einem sanften Vanilleduft füllen.	Une poignée de petites bougies roses qui remplissent l’air d’un léger arôme vanillé.	Um punhado de velinhas rosa que deixam no ar um cheirinho de baunilha.	Una manciata di piccole candele rosa che permeano l'aria di vaniglia.	ほのかなバニラの香りが空気中に広がる、手のひらサイズのピンクのキャンドル。	바닐라 향기가 공기를 채우는 작은 분홍색 양초입니다.	Небольшие розовые свечи, наполняющие воздух легким ароматом ванили.	Un puñado de pequeñas velas rosas que llenan el ambiente de olor a vainilla.	Кілька маленьких рожевих свічок, які наповнюють повітря ароматом ванілі.	几支粉色的小蜡烛，能够散发出扑鼻的香草味。	幾支粉紅色的小蠟燭，就能散發出撲鼻而來的香草味。	เทียนไขสีชมพูเล่มเล็กกำมือหนึ่งที่จะอวลกลิ่นอายของวานิลลากรุ่นในอากาศ
Items/ValentineChest	Text		Valentine's Chest	Valentins-Kiste	Coffre de Saint-Valentin	Baú de Dia dos Namorados	Forziere di San Valentino	バレンタインの宝箱	밸런타인데이 상자	Романтический сундук	Cofre de San Valentín	Романтична скриня	情人节箱子	情人節寶箱	หีบวาเลนไทน์
Items/ValentineChestDesc	Text		This heart-themed chest is great to tuck away little trinkets of love.	Diese Kiste mit Herzmotiv eignet sich perfekt, um kleine Liebesbotschaften aufzubewahren.	Ce coffre garni d’un cœur est idéal pour ranger de petites babioles amoureuses.	Este baú com um coração é ótimo para guardar coisinhas românticas.	Questo forziere con un cuore è utile per mettere da parte i piccoli ninnoli d'amore.	このハートな宝箱は、愛情のこもった小物をしまっておくにはピッタリ。	하트 테마의 상자는 작은 사랑의 장신구를 숨겨두기에 아주 좋습니다.	Сундук с сердечком, в который можно спрятать полученные знаки внимания.	Este cofre tan amoroso es perfecto para guardar pequeñas muestras de amor.	Скриня із сердечками, що чудово підходить для зберігання милих дрібничок.	一只心形主题的箱子，适合把那些充满爱意的小饰品通通塞进去。	一個心形的主題寶箱，很適合把充滿愛意的小飾品通通放進去。	หีบธีมรูปหัวใจนี้เหมาะมากสำหรับเก็บของที่ระลึกจากความรัก
Items/ValentineFloorPetals	Text		Rose Petal Flooring	Rosenblatt-Bodenbelag	Pétales de roses à répandre au sol	Pavimento de Pétalas de Rosa	Pavimento di petali di rose	バラの花びらフローリング	장미 꽃잎 바닥재	Россыпь розовых лепестков	Suelo de pétalos de rosa	Трояндові пелюстки	玫瑰花瓣地板铺饰	玫瑰花瓣地板	พื้นกลีบกุหลาบ
Items/ValentineFloorPetalsDesc	Text		This little paper bag contains enough rose petals to cover a 1x1 floor tile with them. Great to lay out a path of love.	Diese kleine Papiertüte enthält genügend Rosenblätter, um einen 1x1 Bodenbereich damit zu bedecken. Eignet sich großartig für einen Pfad der Liebe.	Ce petit sac en papier contient assez de pétales de roses pour en couvrir 1x1 de carrelage. Idéal pour tracer un chemin d’amour.	Este saquinho de papel contém pétalas de rosa o suficiente para cobrir um azulejo de 1x1. Ótimo para fazer uma trilha de amor.	Questo piccolo sacchetto di carta contiene abbastanza rose da coprire una piastrella 1x1. È l'ideale per creare un sentiero d'amore.	この小さな紙袋の中に、1×1の床タイルに敷き詰めるには十分な量のバラの花びらが入っている。愛の道を作るには最適。	이 작은 종이 가방에는 1x1 크기의 바닥 타일을 덮을 수 있을 정도로 충분한 장미 꽃잎이 담겨 있습니다. 사랑의 길을 펼치기에 좋습니다.	Небольшой бумажный пакетик с розовыми лепестками, которых хватит на 1x1 клетку пола. Почему бы не выложить дорожку любви?	Esta pequeña bolsa de papel contiene suficientes pétalos de rosa para cubrir una baldosa para suelo de 1x1. Lo mejor para establecer una senda de amor.	Пелюстки троянд у цьому маленькому паперовому пакеті покриють плитку підлоги 1x1. Проклади ними шлях до кохання.	这个小小的纸袋里装着的玫瑰花瓣足够铺满一块 1x1 的地板方格。很适合用来铺设一条爱之路。	這個小紙袋裝著足以覆蓋 1x1 地磚的玫瑰花瓣。很適合用來鋪設一條愛的道路。	ถุงกระดาษเล็กๆ นี้มีกลีบกุหลาบมากพอที่จะปกคลุมพื้นขนาด 1x1 ช่อง เหมาะมากสำหรับปูเส้นทางแห่งความรัก
Items/ValentineLetter	Text		Love Letter	Liebesbrief	Lettre d’amour	Carta de Amor	Lettera d'amore	ラブレター	사랑 편지	Любовное письмо	Carta de amor	Любовний лист	情书	情書	จดหมายรัก
Items/ValentineLetterDesc	Text		A scented letter that contains words of love and appreciation. Give it to someone in dire need of affection.	Ein parfümierter Brief, der Worte der Liebe und Anerkennung enthält. Gib ihn jemandem, der Zuneigung dringend nötig hat.	Une lettre parfumée qui contient des mots d’amour et d’appréciation. À donner à quelqu’un qui a grandement besoin d’affection.	Uma carta perfumada com palavras de amor e respeito. Dê para alguém que necessita de afeto.	Una lettera profumata che contiene parole di amore e apprezzamento. Donala a qualcuno che ha estremo bisogno di affetto.	愛と感謝の言葉が綴られた、良い香りのする手紙。愛情を求めている人に渡そう。	사랑과 공감의 언어가 담긴 향기 나는 편지입니다. 애정을 절실히 필요로 하는 누군가에게 주세요.	Надушенное письмо с трогательными словами. Подари тому, кому не хватает любви.	Una carta aromática que contiene palabras de amor y aprecio. Dásela a alguien que necesite afecto desesperadamente.	Ароматний лист зі словами любові й вдячності. Подаруй тому, хто дуже потребує ласки.	一封写满爱意与赞美之词的信函，芳香四溢。把它送给迫切需要爱情的人吧。	一封充滿愛意與讚美之詞的情書，散發出美妙的芳香。快送給迫切需要關愛的人吧。	จดหมายกลิ่นหอมที่เรียงร้อยถ้อยคำแห่งความรักและเทิดทูน มอบให้ใครสักคนที่กำลังถวิลหาความรัก
Items/ValentineNecklace	Text		Valentine Necklace	Valentins-Halskette	Collier de Saint-Valentin	Colar de Dia dos Namorados	Collana di San Valentino	バレンタインのネックレス	밸런타인데이 목걸이	Романтическое ожерелье	Collar de San Valentín	Романтичне намисто	情人节项链	情人節項鍊	สร้อยคอวาเลนไทน์
Items/ValentineNecklaceDesc	Text		A golden necklace featuring a big, shiny heart. You feel something you can't describe, when wearing it so close to your own.	Eine goldene Halskette mit einem großen, glänzenden Herzen als Anhänger. Du fühlst etwas Unbeschreibliches, wenn du es so nah an deinem eigenen trägst.	Un collier d’or orné d’un gros cœur brillant. Lorsqu’on le porte si près du sien, on ressent quelque chose d’indescriptible.	Um colar dourado com um coração grande e brilhante. Você sente algo indescritível ao usá-lo bem próximo do seu coração.	Una collana dorata su cui è attaccato un grande cuore lucido. Tenendola stretta a sé, è possibile percepire qualcosa di indescrivibile.	輝く大きなハートがあしらわれた金色のネックレス。身に着けると言葉にできない感情が湧いてくる。	커다랗고 빛나는 하트가 특징인 금색 목걸이입니다. 가까이 착용하고 있다 보면 묘사할 수 없는 무언가가 느껴집니다.	Золотое ожерелье с крупной блестящей подвеской в виде сердца. Нося его на груди, ты чувствуешь что-то, что невозможно выразить словами.	Un collar dorado con un gran corazón brillante. Sientes algo que no puedes describir cuando este corazón está tan cerca del tuyo.	Золоте намисто з великим блискучим серцем. Коли воно біля твоїх грудей, тебе наповнює невимовне почуття.	一条金色项链，上面坠着一颗又大又闪的心。将它贴在心口，会给你带来一种无法用言语表达的感受。	一條金色項鍊，綴飾著一顆又大又閃亮的心。將其貼近心胸，會感覺到一股無以名狀的感受。	สร้อยทองประดับหัวใจสุกสกาวดวงใหญ่ เมื่อใส่ไว้ใกล้ตัว คุณจะเกิดความรู้สึกที่อธิบายไม่ถูก
Items/ValentinePainting	Text		Heart Painting	Herz-Gemälde	Tableau de cœur	Quadro de Coração	Dipinto di un cuore	ハートの絵画	하트 그림	Картина с сердцем	Cuadro de corazón	Малюнок серця	心形绘画	心形繪畫	ภาพวาดรูปหัวใจ
Items/ValentinePaintingDesc	Text		A simple painting showing nothing more than a heart. Sometimes this is all one needs in these dark times.	Ein einfaches Gemälde, das ein kleines Herz zeigt. Manchmal ist das alles, was man in diesen dunklen Zeiten braucht.	Un tableau simple ne montrant rien d’autre qu’un cœur. C’est parfois tout ce dont on a besoin en ces temps obscurs.	Uma simples pintura que mostra nada mais que um coração. Às vezes, é só o que o indivíduo precisa nesses tempos obscuros.	Un semplice dipinto su cui non è raffigurato altro se non un cuore. A volte nei periodi più bui non c'è bisogno di nient'altro.	ハート以外に何も描かれていないシンプルな絵画。この暗い時代には、時にこれだけが必要になることもある。	하트만 그려져 있는 간단한 그림입니다. 가끔 어두운 시기에 필요한 건 이게 전부일 때가 있습니다.	Простая картина, на которой изображено сердечко. Возможно, в наши темные времена больше ничего и не нужно.	Un sencillo cuadro que muestra tan solo un corazón. A veces, es cuanto se necesita en momentos oscuros.	Проста картина, на якій зображено серце. Іноді це все, що потрібно в наші темні часи.	一幅简简单单的画，除了一颗红心之外别无他物。在这黑暗的年代，有时候，这就是一个人所需要的一切。	一幅簡單的繪畫，除了滿滿的心意外，別無他物。有時候，這就是一個人深陷黑暗的時刻中，所需要的一切。	ภาพวาดเรียบง่ายเป็นรูปหัวใจเพียงดวงเดียว บางครั้งแค่นี้ก็เพียงพอแล้วสำหรับช่วงเวลาที่เลวร้าย
Items/ValentinePlushie	Text		Caveling Brute Plushie	Grottling-Schläger-Plüschtier	Peluche de brute caverneuse	Pelúcia de Cavernoso Brutamontes	Peluche di Bruto Cavernicolo	ケイヴリングブルートのぬいぐるみ	동굴인 야수 인형	Плюшевый пещерник-здоровяк	Peluche de bruto cavernícola	Плюшевий печерний звірюга	穴居者暴徒毛绒玩具	洞穴人暴徒毛絨玩具	ตุ๊กตามนุษย์ถ้ำจอมโหด
Items/ValentinePlushieDesc	Text		A big plushie, resembling a caveling brute holding a heart. Even those need a little bit of love sometimes.	Ein großes Plüschtier, das einen Grottling-Schläger mit einem Herzen darstellt. Selbst sie brauchen manchmal ein kleines bisschen Liebe.	Une grosse peluche ressemblant à une brute caverneuse tenant un cœur. Même eux ont besoin d’un peu d’amour de temps à autre.	Uma pelúcia grande que lembra um Cavernoso Brutamontes segurando um coração. Até eles às vezes precisam de amor.	Un grande peluche raffigurante un Bruto Cavernicolo che tiene in mano un cuore. Anche loro a volte hanno bisogno di un po' d'amore.	ケイヴリングブルートがハートを抱えている、大きなぬいぐるみ。彼らにも、たまには少しの愛情が必要だ。	하트를 쥐고 있는 동굴인 야수와 닮은 커다란 인형입니다. 동굴인 야수도 가끔은 사랑이 필요하지요.	Большая плюшевая игрушка в виде пещерника-здоровяка с сердечком в руках. Каждому иногда нужно немного любви.	Un gran peluche de un bruto cavernícola sosteniendo un corazón. Hasta ellos necesitan un poquito de amor de vez en cuando.	Велика іграшка у вигляді печерного звірюги із серцем. Навіть їм іноді потрібно трохи любові.	一个大大的毛绒玩具，仿照穴居者暴徒的样子制作而成，怀里抱着一颗心。就算是他们，有时也会需要一点爱。	一個大大的毛絨玩具，很像懷裡抱著一顆心的洞穴人暴徒。就算是他們，偶爾也是需要一點愛。	ตุ๊กตานุ่มตัวโตที่จำลองตัวมนุษย์ถ้ำจอมโหดถือหัวใจอยู่ ต่อให้เป็นเจ้าพวกนั้นก็ยังต้องการความรักบ้างล่ะนะ
Items/ValentinePresent	Text		Valentine's Gift	Valentins-Geschenk	Cadeau de Saint-Valentin	Presente de Dia dos Namorados	Regalo di San Valentino	バレンタインギフト	밸런타인데이 선물	Подарок ко Дню всех влюбленных	Regalo de San Valentín	Романтичний дарунок	情人节礼物	情人節禮物	ของขวัญวาเลนไทน์
Items/ValentinePresentDesc	Text		This rose and silver-colored gift is packed with a variety of different charming items.	Dieses rosa- und silberfarbene Geschenk ist vollgepackt mit einer Auswahl an verschiedenen, bezaubernden Gegenständen.	Ce paquet-cadeau rose et argenté contient une variété de différents objets des plus charmants.	Este presente rosa e prateado vem repleto de itens encantadores.	Questo regalo rosato e argentato contiene un'ampia varietà di oggetti affascinanti.	このローズとシルバーのギフトボックスには魅力的なアイテムがいっぱい詰まっている。	이 장밋빛과 은빛의 선물에는 다채로운 여러 가지 매력적인 아이템이 담겨 있습니다.	Розовая коробка, перевязанная серебристой лентой. Внутри много очаровательных мелочей.	Este regalo de color rosa y plata está cargado de diversos objetos encantadores.	У цьому рожево-сріблястому подарунку таїться купа чарівних речей.	一件由玫瑰色与银色交织而成的礼物，里面装有各式各样的漂亮道具。	一個玫瑰色與銀色交織的禮物，裝滿各式各樣迷人的道具。	ของขวัญห่อกระดาษสีกุหลาบ-เงินนี้บรรจุไอเท็มมากเสน่ห์ชนิดต่างๆ เอาไว้
Items/ValentineRing	Text		Valentine Ring	Valentins-Ring	Anneau de Saint-Valentin	Anel de Dia dos Namorados	Anello di San Valentino	バレンタインのリング	밸런타인데이 반지	Романтическое кольцо	Anillo de San Valentín	Романтичне кільце	情人节戒指	情人節戒指	แหวนวาเลนไทน์
Items/ValentineRingDesc	Text		A golden ring featuring a candy-colored heart. The perfect gift to give to someone you like.	Ein goldener Ring, auf dem ein bonbonfarbenes Herz trohnt. Das perfekte Geschenk für jemanden, der dir am Herzen liegt.	Une bague en or sertie d’un cœur rose bonbon. Le cadeau idéal pour donner à quelqu’un qu'on aime bien.	Um anel dourado com um coração de cor viva. O presente perfeito para dar a alguém que você gosta.	Un anello dorato su cui è incastonato un cuore color caramella. Il regalo perfetto da fare a qualcuno che ti piace.	カラフルなハートがあしらわれた金色のリング。好きな人への贈り物にピッタリ。	사탕 색깔의 하트가 특징인 금색 반지입니다. 좋아하는 사람에게 주기에 완벽한 선물이죠.	Золотое кольцо с сердечком цвета сладкой ваты. Идеальный подарок для кого-то, кто мил сердцу.	Un anillo dorado con un corazón color caramelo. El regalo perfecto para darle a alguien que te guste.	Золота каблучка із сердечком цукеркового кольору. Ідеальний подарунок для того, хто тобі подобається.	一枚金色戒指，上面镶着一颗糖果色的心。如果你想送自己喜欢的人一件礼物，那么这枚戒指无疑是完美之选。	一枚金色的戒指，上面鑲著一顆糖果色的心。很適合將這份禮物送給心上人。	แหวนทองประดับรูปหัวใจสีลูกกวาด เหมาะสำหรับเป็นของขวัญให้คนที่ชอบ
Items/ValentineRug	Text		Heart-shaped Rug	Herzförmiger Teppich	Tapis en forme de cœur	Tapete de Coração	Tappeto a forma di cuore	ハート型のカーペット	하트 모양의 깔개	Коврик-сердечко	Alfombra en forma de corazón	Килимок у формі серця	心形地垫	心形地墊	พรมรูปหัวใจ
Items/ValentineRugDesc	Text		"Nothing speaks ""love"" like a big fuzzy heart on the floor. It smells like wool and lavender."	Nichts repräsentiert Liebe so gut wie ein riesiges, wuscheliges Herz auf dem Boden. Es duftet nach Wolle und Lavendel.	Rien ne parle mieux d’amour qu’un énorme cœur pelucheux sur le sol. Il sent la laine et la lavande.	"Nada esbanja o ""amor"" como um coraçãozão felpudo no chão. Humm, tem cheiro de lã e lavanda."	Niente è in grado di rappresentare l'amore più di un grande cuore peloso sul pavimento. Odora di lana e lavanda.	床に敷かれたフワフワのハートほど、「愛」を語るものはない。ウールとラベンダーのような香りがする。	"바닥의 보송보송한 하트 모양 깔개처럼 ""사랑""을 이야기하는 것도 없죠. 울과 라벤더 냄새가 납니다."	Как же еще выразить любовь, если не большим мягким сердцем на полу? Пахнет шерстью и лавандой.	"Nada dice ""amor"" como un gran corazón peludito en el suelo. Huele a lana y lavanda."	Ніщо так не висловлює кохання, як велике пухке серце на підлозі. Пахне шерстю й лавандою.	没有什么能比铺在地板上的一颗毛茸茸的大红心更能表达爱意了。闻起来有羊毛和薰衣草的味道。	沒什麼比在地上放一顆毛茸茸的大紅心更能表達「愛」了。聞起來有股羊毛和薰衣草的味道。	"อะไรจะพรรณนา ""ความรัก"" ได้ดีไปกว่าหัวใจดวงใหญ่บนพื้น มีกลิ่นขนสัตว์และลาเวนเดอร์"
Items/ValentineWallHearts	Text		Wall Hearts	Wandherzen	Cœurs muraux	Mural de Corações	Cuori da parete	ハートの壁飾り	벽의 하트	Настенные сердечки	Corazones murales	Настінні серця	心形墙壁贴纸	心形壁紙	หัวใจแปะกำแพง
Items/ValentineWallHeartsDesc	Text		An assortment of hearts cut from paper, they look great on walls and make a base just a little bit more lovely.	Eine Auswahl von Herzen aus Papier, sie sehen wunderbar an Wänden aus und machen die Basis ein kleines bisschen lieblicher.	Un assortiment de cœurs découpés dans du papier. Ils sont du plus bel effet sur les murs et ajoutent une touche de charme à une base.	Um conjunto de corações de papel que ficam lindos em paredes e deixam a base um pouco mais amorosa.	Un assortimento di cuori di carta. Stanno perfettamente sulle pareti e rendono la base un posto più amorevole.	紙から切り出されたハートの詰め合わせ。壁に飾ると素敵。基地をちょっぴりラブリーにしてくれる。	종이를 잘라 만든 하트 모음으로 벽에 걸어 두면 멋지고 기지가 조금 더 사랑스러운 장소로 바뀝니다.	Бумажные сердечки, которые украсят любую стену и добавят базе очарования.	Un surtido de corazones cortados en papel. Quedan genial en una pared y hacen que la base sea un poquito más amorosa.	Набір сердець, вирізаних із паперу. Прикрашають стіни і роблять базу трошки милішою.	用纸剪成的各种心形图案，贴在墙壁上很好看，可以让据点变得稍微可爱一点点。	用紙裁剪出的各種心形圖案，很適合貼在牆上，也能為基地增添一點可愛的氣息。	กระดาษตัดรูปหัวใจ ดูดีมากบนกำแพงและทำให้ฐานของเราดูน่ารักขึ้นอีกหน่อย
Items/ValentineWorkbench	Text		Valentine Crafting Table	Valentins-Basteltisch	Table d’artisanat de Saint-Valentin	Bancada de Dia dos Namorados	Tavolo da creazione di San Valentino	バレンタインの製作テーブル	밸런타인데이 제작 테이블	Романтический верстак	Mesa de fabricación de San Valentín	Романтичний верстак	情人节制作台	情人節製作桌	โต๊ะประดิษฐ์วาเลนไทน์
Items/ValentineWorkbenchDesc	Text		A workbench containing tools and blueprints to create some beautiful decorative items.	Eine Werkbank, die Werkzeuge und Blaupausen enthält, um damit wunderschöne dekorative Gegenstände zu fertigen.	Un établi contenant les outils et les plans nécessaires pour créer de beaux objets de décoration.	Uma bancada com ferramentas e diagramas para fabricar lindos itens decorativos.	Un banco da lavoro contenente gli strumenti e i progetti necessari per creare splendidi oggetti decorativi.	美しい装飾アイテムを作るために必要な道具と設計図が用意されている作業台。	아름다운 장식 아이템을 만들기 위한 도구와 설계도가 담긴 작업대입니다.	Рабочая станция с инструментами и чертежами для создания красивого декора.	Una mesa de trabajo con herramientas y planos para crear objetos bonitos y decorativos.	Верстак з інструментами й кресленнями для створення милих елементів декору.	一张工作台，里面装有工具和设计图，可以用来制作某些美丽的装饰性道具。	一張含有工具及設計圖的工作台，可用來製作某些美麗的裝飾性道具。	โต๊ะทำงานที่ประกอบด้วยเครื่องมือและพิมพ์เขียวสำหรับสร้างไอเท็มตกแต่งที่สวยงาม
Items/ValuablePouch	Text		Small Valuable Pouch	Kleiner Wertgegenstand-Beutel	Petite bourse à objets de valeur	Bolsa Pequena Valiosa	Piccolo borsellino di valore	小さな貴重品のポーチ	소형 귀중품 주머니	Маленький мешочек для ценностей	Bolsita pequeña para cosas valiosas	Маленький мішечок для цінностей	小型贵重物品口袋	小型貴重物品袋	กระเป๋าของมีค่าใบเล็ก
Items/ValuablePouchDesc	Text		A small pouch made exclusively for valuables, with dedicated slots that auto-sort items as you gather them.	Ein kleiner Beutel für Wertgegenstände. Er verfügt über Slots, die Gegenstände beim Sammeln automatisch sortieren.	Une petite bourse réservée aux objets de valeur, présentant des emplacements spéciaux où sont automatiquement triés les objets que tu amasses.	Uma bolsa pequena só para itens valiosos, com espaços dedicados que organizam automaticamente os itens recolhidos.	Un piccolo borsellino realizzato esclusivamente per gli oggetti di valore. Contiene degli spazi dedicati che dividono automaticamente gli oggetti raccolti.	貴重品のためだけに作られた小さなポーチ。当該のアイテムを集めると自動的に収納する専用スロットが付いている。	귀중품만을 위해 만들어진 작은 주머니입니다. 아이템을 수집하는 동시에 자동으로 정리하는 전용 슬롯이 있습니다.	Небольшой мешочек, предназначенный только для ценностей. Специальные ячейки автоматически сортируют предметы по мере сбора.	Una pequeña bolsita hecha exclusivamente para cosas valiosas, con ranuras dedicadas que van ordenando automáticamente lo que recoges.	Невеликий мішечок для цінних речей зі спеціальними слотами, які автоматично сортують предмети.	专门用来装贵重物品的小口袋，有专用栏位，可在收集道具时自动对其进行整理。	專門用來裝貴重物品的小袋子，收集到道具時，會自動分類至專屬的欄位。	"กระเป๋าขนาดเล็กที่ทำขึ้นมา
สำหรับของมีค่าโดยเฉพาะ
พร้อมสล็อตเฉพาะที่จะจัดเรียง
ไอเท็มอัตโนมัติเมื่อเก็บขึ้นมา"
Items/VampireCapeBreastArmor	Text		Dracularva Cape	Dracularven-Umhang	Cape de dracularve	Capa de Dracularva	Mantello di Dracularva	ドラキュラルヴァのケープ	드라큘라벌레 망토	Плащ графа Дракуличинки	Capa de dracularva	Плащ Дракуличинки	德古拉幼虫斗篷	德古拉幼蟲披風	ผ้าคลุมหนอนแดรกคูลา
Items/VampireCapeBreastArmorDesc	Text		A black satin cape fit for a vampire. The crimson flip-up collar adds to the evil look.	Ein schwarzer Seidenumhang, würdig eines Vampirs. Der purpurrote Klappkragen macht ihn noch furchterregender.	Une cape de satin noire pour vampire. Le large col cramoisi lui donne l’air encore plus machiavélique.	Uma capa preta em cetim para vampiros. A gola vermelha dobrada dá um ar ainda mais malvado.	Un mantello nero di raso adatto a un vampiro. Il collare cremisi aggiunge un tocco di classe al look malvagio.	ヴァンパイアにふさわしい黒いサテンのケープ。真紅の跳ね上がった襟が、見た目をいっそう邪悪にする。	뱀파이어에게 어울리는 검정 새틴 망토입니다. 추켜세워진 핏빛 칼라 때문에 더 사악해 보입니다.	Черный сатиновый плащ, достойный настоящего вампира. Поднятый алый воротник делает образ еще более зловещим.	Una capa de raso negro digna de un vampiro. El collar carmesí alzado es un plus para dar imagen diabólica.	Чорна атласна накидка для вампіра. Малиновий відкидний комір додає зловісного вигляду.	一件黑色的缎面斗篷，很适合穿在吸血鬼身上。它那暗红色的立领能让你显得更加邪恶。	一件很適合吸血鬼的黑色緞面披風。其緋紅色的立領，更增添了邪惡的感覺。	ผ้าคลุมซาตินสีดำเหมาะสำหรับแวมไพร์ ปกคอตั้งสีแดงช่วยเพิ่มลุคชั่วร้าย
Items/VampireEel	Text		Vampire Eel	Vampir-Aal	Anguille vampire	Enguia-vampira	Vampiranguilla	吸血ウナギ	뱀파이어 장어	Угорь-вампир	Anguila vampírica	Вугор-вампір	吸血鳗	吸血鰻魚	ปลาไหลแวมไพร์
Items/VampireEelDesc	Text		A bloodsucking fish latching onto everything that has a pulse.	Ein blutsaugender Fisch, der sich an alles anheftet, das einen Puls hat.	Un poisson suceur de sang qui s’accroche à tout ce qui a un pouls.	Um peixe sanguessuga que se fixa em tudo que tenha pulsação.	Un pesce succhiasangue che si attacca a qualsiasi cosa produca delle pulsazioni.	脈があるものになら何でも吸い付く吸血魚。	맥박이 뛰는 모든 것에 달라붙어 피를 빠는 물고기입니다.	Рыба-кровопийца, готовая впиться зубами во все, у чего есть пульс.	Un pez chupasangre que se pega a cualquier cosa que tenga pulso.	Кровосисна риба, яка кусає все, що має пульс.	一条能吸血的鱼，会牢牢地贴附在一切有脉搏的生物身上。	依附在任何有脈搏的物體上的吸血魚。	ปลาดูดเลือดที่จะเกาะติดทุกสิ่งที่มีชีพจร
Items/VendingMachine	Text		Vending Machine	Automat	Distributeur automatique	Máquina de Venda Automática	Distributore automatico	自販機	자동판매기	Торговый автомат	Máquina expendedora	Торговий автомат	自动售货机	自動販賣機	ตู้ขายของ
Items/VendingMachineBroken	Text		Broken Vending Machine	Kaputter Automat	Distributeur automatique cassé	Máquina de Venda Automática Quebrada	Distributore automatico rotto	壊れた自販機	고장난 자동판매기	Сломанный торговый автомат	Máquina expendedora averiada	Зламаний торговий автомат	坏掉的自动售货机	毀損的自動販賣機	ตู้ขายของชำรุด
Items/VendingMachineBrokenDesc	Text		A broken automaton that once contained snacks and other goods. It looks like it was forced open.	Ein zerstörter Automat, der einst Snacks und andere Güter enthielt. Es sieht aus, als wäre er absichtlich aufgebrochen worden.	Un automate cassé qui, jadis, contenait des en-cas et d’autres biens. On dirait qu’il a été forcé.	Um autômato quebrado que antes armazenava lanches e outros itens. Parece que arrombaram.	Un automata rotto che un tempo conteneva cibo e altre risorse. Sembra che sia stato aperto forzatamente.	お菓子などの品物が入った機械だが、壊れてる。むりやり開けられたかのようだ。	한때 스낵과 다른 물건이 들어 있었던 고장난 기계입니다. 강제로 열렸던 것처럼 보입니다.	Сломанный автомат, в котором раньше можно было купить вкусняшки и всякие мелочи. Похоже, кто-то вскрыл его силой.	Un autómata averiado que, en su día, contuvo tentempiés y otros artículos. Parece que alguien lo haya abierto a la fuerza.	Зламаний автомат, який колись містив закуски й інші товари. Схоже, його відкрили силою.	一台坏掉的自动售货机，里面曾经装着零食及其他商品。看起来似乎被人强行撬开过。	一台毀損的自動販賣機，裡面裝著各種零食及其他商品。看起來曾遭人強行撬開。	ตู้อัตโนมัติที่ชำรุดเสียหาย ครั้งหนึ่งเคยใส่ขนมและของอื่นๆ ไว้ ดูเหมือนมันถูกงัดเปิดออก
Items/VendingMachineDesc	Text		An old, still functioning automaton that is proof of advanced technology and a sophisticated society.	Ein alter, intakter Automat, der Zeuge fortschrittlicher Technologie und einer hoch entwickelten Gesellschaft ist.	Un vieil automate encore en état de marche, qui est la preuve d’une technologie élaborée et d’une société sophistiquée.	Um velho autômato, mas que ainda funciona. É prova de uma tecnologia avançada e uma sociedade sofisticada.	Un vecchio automata ancora funzionante che prova l'esistenza di una società sofisticata e tecnologicamente avanzata.	古いがまだ作動し続ける機械。発達した技術と洗練された文明が存在していたことの証だ。	오래되었지만 여전히 작동하는 기계로 진보한 기술과 세련된 사회의 증거입니다.	Старое, но еще работающее устройство. Образец былого уровня развития технологий и общества.	Un autómata viejo pero en perfecto funcionamiento, prueba de que ya existía la tecnología avanzada y una sociedad sofisticada.	Старий автомат, що досі працює. Доказ передових технологій і розумного суспільства.	一台自动售货机，虽然年代久远，但依然能正常使用，是先进的科学技术与复杂的社会体系存在过的证明。	一台古老但仍能運作的自動機械裝置，此為先進科技及複雜社會體制曾存在過的證明。	ตู้อัตโนมัติเก่าที่ยังทำงานได้ เป็นหลักฐานของวิทยาการขั้นสูงและสังคมอันล้ำสมัย
Items/VerdantDragonfish	Text		Verdant Dragonfish	Grüner Drachenfisch	Poisson-dragon verdoyant	Dracopeixe Verdejante	Pesce drago verdeggiante	グリーンドラゴンフィッシュ	파릇한 드래곤피시	Зеленая рыба-дракон	Pez dragón verde	Зелена риба-дракон	碧绿龙鱼	碧綠色龍魚	ปลามังกรเขียวขจี
